Item Name,SKU,Category,Color,Size,Weight
Linen Tendril Tablecloth,SKU-00040,Tablecloth,Angora White,"108""x55"" / 274x140 cm",0.67
Linen Natural Lace Tablecloth,SKU-00041,Tablecloth,Retro Green,"108""x60"" / 274x152 cm",0.73
Linen Orange Needled Napkin Set,SKU-00042,Napkin Set,Retro Green,"Set of 2 - 14""x14""/ 35 cm x 35 cm",0.06
Linen Tendril Duvet Cover,SKU-00043,Duvet Cover,Sunset Orange,"US QUEEN: 90""X88"" / 229 x 224 cm / King pillowcases: 20 x 36"" / 51 x 91 cm",2.16
Linen Slumber Solid Duvet Cover,SKU-00044,Duvet Cover (IND),Angora White,"94""X 86"" / 240 X 220 cm QUEEN",1.82
Linen Segue Cushion Cover,SKU-00045,Cushion Cover,Terracotta,"16""x16"" / 40x40 cm",0.1
Linen Slumber Solid Fitted Sheet,SKU-00046,Fitted Sheet (IND),Bottle Green,75” x 48” x 10” / 190 x 121 x 25 cm DOUBLE,0.71
Linen Slumber Solid Fitted Sheet,SKU-00047,Fitted Sheet,Sunset Orange,Queen Deep,1.21
Linen Grey Needled Duvet Cover,SKU-00048,Duvet Cover,Dusty Gold,"US QUEEN: 90""X88"" / 229 x 224 cm / Standard pillowcases: 26""X20"" / 51 x 66 cm",2.06
Linen Fringe Me Kantha Duvet Cover,SKU-00049,Duvet Cover,Bottle Green,"US KING: 102""X90"" / 259 x 229 cm / Standard pillowcases: 26""X20"" / 51 x 66 cm",2.32
Linen Personalised Cushion Cover,SKU-00050,Cushion Cover,Cinnamon Brown,"18""x18"" / 45x45 cm",0.1
Linen Black Needled Cushion Cover,SKU-00051,Cushion Cover,Retro Green,"16""x24"" / 40x60 cm",0.11
Linen Orange Needled Cushion Cover,SKU-00052,Cushion Cover,Aqua Blue,"12""x20"" / 30x50 cm",0.08
Linen Fringe Me Good Duvet Cover,SKU-00053,Duvet Cover,Sandy Beige,"US KING: 102""X90"" / 259 x 229 cm / Queen pillowcases: 20 x 30"" / 51 x 76 cm",2.36
Linen Lane Tablecloth,SKU-00054,Tablecloth,Red,"79""x55"" / 200x140 cm",0.6
Linen Maris Cushion Cover,SKU-00055,Cushion Cover,Mustard,"24""x24"" / 60x60 cm",0.18
Linen Natural Lace Cushion Cover,SKU-00056,Cushion Cover,Mauve Dust,"20""x28"" / 50x70 cm",0.15
Linen Ebon Quilt,SKU-00057,Quilt (IND),Cinnamon Brown,"79""X 53"" / 200 X 135 cm SINGLE",1.08
Linen Glint Cushion Cover,SKU-00058,Cushion Cover,Sunset Orange,"18""x18"" / 45x45 cm",0.1
Linen Arcade Tablecloth,SKU-00059,Tablecloth,Blue,"55""x39"" / 140x100 cm",0.31
Linen Mabel Duvet Cover,SKU-00060,Duvet Cover,Green,"US QUEEN: 90""X88"" / 229 x 224 cm / Standard pillowcases: 26""X20"" / 51 x 66 cm",2.45
Linen Reed Tablecloth,SKU-00061,Tablecloth,-,"91""x55"" / 231x140 cm",0.68
Linen Denise Tote Bag,SKU-00062,Tote Bag,Blue,53 x 15 x 38 cm,0.22
